id,day_of_week_x,index_x,available_x,max_nights_x,min_nights_x,available_for_checkin_x,available_for_checkout_x,bookable_x,day_of_week_y,index_y,available_y,max_nights_y,min_nights_y,available_for_checkin_y,available_for_checkout_y,bookable_y,available_delta_pct,available_for_checkin_delta_pct,available_for_checkout_delta_pct,bookable_delta_pct,zipcode,City,Metro,CountyName,State
11886168,2,36.07894737,0.25,1125,1.157894737,0.25,0.25,0.25,6,19.07894737,0.052631579,1125,1.210526316,0.052631579,0.065789474,0.052631579,-19.73684211,-19.73684211,-18.42105263,-19.73684211,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,3,37.07894737,0.105263158,1125,1.210526316,0.092105263,0.25,0.105263158,0,20.07894737,0.210526316,1125,1.210526316,0.171052632,0.052631579,0.197368421,10.52631579,7.894736842,-19.73684211,9.210526316,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,3,37.07894737,0.105263158,1125,1.210526316,0.092105263,0.25,0.105263158,1,21.07894737,0.157894737,1125,1.210526316,0.157894737,0.197368421,0.157894737,5.263157895,6.578947368,-5.263157895,5.263157895,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,3,37.07894737,0.105263158,1125,1.210526316,0.092105263,0.25,0.105263158,2,22.07894737,0.394736842,1125,1.157894737,0.394736842,0.157894737,0.394736842,28.94736842,30.26315789,-9.210526316,28.94736842,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,3,37.07894737,0.105263158,1125,1.210526316,0.092105263,0.25,0.105263158,3,23.07894737,0.263157895,1125,1.210526316,0.25,0.394736842,0.263157895,15.78947368,15.78947368,14.47368421,15.78947368,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,3,37.07894737,0.105263158,1125,1.210526316,0.092105263,0.25,0.105263158,4,17.07894737,0.078947368,1125,1.315789474,0.078947368,0.25,0.078947368,-2.631578947,-1.315789474,0,-2.631578947,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,3,37.07894737,0.105263158,1125,1.210526316,0.092105263,0.25,0.105263158,5,18.07894737,0.065789474,1125,1.210526316,0.065789474,0.078947368,0.065789474,-3.947368421,-2.631578947,-17.10526316,-3.947368421,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,3,37.07894737,0.105263158,1125,1.210526316,0.092105263,0.25,0.105263158,6,19.07894737,0.052631579,1125,1.210526316,0.052631579,0.065789474,0.052631579,-5.263157895,-3.947368421,-18.42105263,-5.263157895,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,4,38.07894737,0.039473684,1125,1.315789474,0,0.105263158,0.039473684,0,20.07894737,0.210526316,1125,1.210526316,0.171052632,0.052631579,0.197368421,17.10526316,17.10526316,-5.263157895,15.78947368,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,4,38.07894737,0.039473684,1125,1.315789474,0,0.105263158,0.039473684,1,21.07894737,0.157894737,1125,1.210526316,0.157894737,0.197368421,0.157894737,11.84210526,15.78947368,9.210526316,11.84210526,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,4,38.07894737,0.039473684,1125,1.315789474,0,0.105263158,0.039473684,2,22.07894737,0.394736842,1125,1.157894737,0.394736842,0.157894737,0.394736842,35.52631579,39.47368421,5.263157895,35.52631579,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,4,38.07894737,0.039473684,1125,1.315789474,0,0.105263158,0.039473684,3,23.07894737,0.263157895,1125,1.210526316,0.25,0.394736842,0.263157895,22.36842105,25,28.94736842,22.36842105,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,4,38.07894737,0.039473684,1125,1.315789474,0,0.105263158,0.039473684,4,17.07894737,0.078947368,1125,1.315789474,0.078947368,0.25,0.078947368,3.947368421,7.894736842,14.47368421,3.947368421,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,4,38.07894737,0.039473684,1125,1.315789474,0,0.105263158,0.039473684,5,18.07894737,0.065789474,1125,1.210526316,0.065789474,0.078947368,0.065789474,2.631578947,6.578947368,-2.631578947,2.631578947,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,4,38.07894737,0.039473684,1125,1.315789474,0,0.105263158,0.039473684,6,19.07894737,0.052631579,1125,1.210526316,0.052631579,0.065789474,0.052631579,1.315789474,5.263157895,-3.947368421,1.315789474,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,5,39.07894737,0,1125,1.210526316,0,0.039473684,0,0,20.07894737,0.210526316,1125,1.210526316,0.171052632,0.052631579,0.197368421,21.05263158,17.10526316,1.315789474,19.73684211,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,5,39.07894737,0,1125,1.210526316,0,0.039473684,0,1,21.07894737,0.157894737,1125,1.210526316,0.157894737,0.197368421,0.157894737,15.78947368,15.78947368,15.78947368,15.78947368,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,5,39.07894737,0,1125,1.210526316,0,0.039473684,0,2,22.07894737,0.394736842,1125,1.157894737,0.394736842,0.157894737,0.394736842,39.47368421,39.47368421,11.84210526,39.47368421,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,5,39.07894737,0,1125,1.210526316,0,0.039473684,0,3,23.07894737,0.263157895,1125,1.210526316,0.25,0.394736842,0.263157895,26.31578947,25,35.52631579,26.31578947,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,5,39.07894737,0,1125,1.210526316,0,0.039473684,0,4,17.07894737,0.078947368,1125,1.315789474,0.078947368,0.25,0.078947368,7.894736842,7.894736842,21.05263158,7.894736842,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,5,39.07894737,0,1125,1.210526316,0,0.039473684,0,5,18.07894737,0.065789474,1125,1.210526316,0.065789474,0.078947368,0.065789474,6.578947368,6.578947368,3.947368421,6.578947368,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,5,39.07894737,0,1125,1.210526316,0,0.039473684,0,6,19.07894737,0.052631579,1125,1.210526316,0.052631579,0.065789474,0.052631579,5.263157895,5.263157895,2.631578947,5.263157895,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,6,40.07894737,0.25,1125,1.210526316,0.25,0,0.25,0,20.07894737,0.210526316,1125,1.210526316,0.171052632,0.052631579,0.197368421,-3.947368421,-7.894736842,5.263157895,-5.263157895,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,6,40.07894737,0.25,1125,1.210526316,0.25,0,0.25,1,21.07894737,0.157894737,1125,1.210526316,0.157894737,0.197368421,0.157894737,-9.210526316,-9.210526316,19.73684211,-9.210526316,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,6,40.07894737,0.25,1125,1.210526316,0.25,0,0.25,2,22.07894737,0.394736842,1125,1.157894737,0.394736842,0.157894737,0.394736842,14.47368421,14.47368421,15.78947368,14.47368421,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,6,40.07894737,0.25,1125,1.210526316,0.25,0,0.25,3,23.07894737,0.263157895,1125,1.210526316,0.25,0.394736842,0.263157895,1.315789474,0,39.47368421,1.315789474,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,6,40.07894737,0.25,1125,1.210526316,0.25,0,0.25,4,17.07894737,0.078947368,1125,1.315789474,0.078947368,0.25,0.078947368,-17.10526316,-17.10526316,25,-17.10526316,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,6,40.07894737,0.25,1125,1.210526316,0.25,0,0.25,5,18.07894737,0.065789474,1125,1.210526316,0.065789474,0.078947368,0.065789474,-18.42105263,-18.42105263,7.894736842,-18.42105263,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
11886168,6,40.07894737,0.25,1125,1.210526316,0.25,0,0.25,6,19.07894737,0.052631579,1125,1.210526316,0.052631579,0.065789474,0.052631579,-19.73684211,-19.73684211,6.578947368,-19.73684211,5450,Enosburg,Burlington-South Burlington,Franklin County,VT
12197831,0,41.07894737,0.381578947,31,1,0.381578947,0.473684211,0.381578947,0,20.07894737,0.684210526,31,1,0.684210526,0.513157895,0.684210526,30.26315789,30.26315789,3.947368421,30.26315789,4043,Kennebunk,Portland-South Portland,York County,ME
12197831,0,41.07894737,0.381578947,31,1,0.381578947,0.473684211,0.381578947,1,21.07894737,0.684210526,31,1,0.684210526,0.684210526,0.684210526,30.26315789,30.26315789,21.05263158,30.26315789,4043,Kennebunk,Portland-South Portland,York County,ME
12197831,0,41.07894737,0.381578947,31,1,0.381578947,0.473684211,0.381578947,2,22.07894737,0.434210526,31,1,0.434210526,0.684210526,0.434210526,5.263157895,5.263157895,21.05263158,5.263157895,4043,Kennebunk,Portland-South Portland,York County,ME
12197831,0,41.07894737,0.381578947,31,1,0.381578947,0.473684211,0.381578947,3,23.07894737,0.5,31,1,0.5,0.434210526,0.5,11.84210526,11.84210526,-3.947368421,11.84210526,4043,Kennebunk,Portland-South Portland,York County,ME
12197831,0,41.07894737,0.381578947,31,1,0.381578947,0.473684211,0.381578947,4,17.07894737,0.236842105,31,1,0.236842105,0.578947368,0.236842105,-14.47368421,-14.47368421,10.52631579,-14.47368421,4043,Kennebunk,Portland-South Portland,York County,ME
12197831,0,41.07894737,0.381578947,31,1,0.381578947,0.473684211,0.381578947,5,18.07894737,0.210526316,31,1,0.210526316,0.236842105,0.210526316,-17.10526316,-17.10526316,-23.68421053,-17.10526316,4043,Kennebunk,Portland-South Portland,York County,ME
12197831,0,41.07894737,0.381578947,31,1,0.381578947,0.473684211,0.381578947,6,19.07894737,0.513157895,31,1,0.513157895,0.210526316,0.513157895,13.15789474,13.15789474,-26.31578947,13.15789474,4043,Kennebunk,Portland-South Portland,York County,ME
12197831,1,42.07894737,0.631578947,31,1,0.631578947,0.381578947,0.631578947,0,20.07894737,0.684210526,31,1,0.684210526,0.513157895,0.684210526,5.263157895,5.263157895,13.15789474,5.263157895,4043,Kennebunk,Portland-South Portland,York County,ME
12197831,1,42.07894737,0.631578947,31,1,0.631578947,0.381578947,0.631578947,1,21.07894737,0.684210526,31,1,0.684210526,0.684210526,0.684210526,5.263157895,5.263157895,30.26315789,5.263157895,4043,Kennebunk,Portland-South Portland,York County,ME
12197831,1,42.07894737,0.631578947,31,1,0.631578947,0.381578947,0.631578947,2,22.07894737,0.434210526,31,1,0.434210526,0.684210526,0.434210526,-19.73684211,-19.73684211,30.26315789,-19.73684211,4043,Kennebunk,Portland-South Portland,York County,ME
12197831,1,42.07894737,0.631578947,31,1,0.631578947,0.381578947,0.631578947,3,23.07894737,0.5,31,1,0.5,0.434210526,0.5,-13.15789474,-13.15789474,5.263157895,-13.15789474,4043,Kennebunk,Portland-South Portland,York County,ME
12197831,1,42.07894737,0.631578947,31,1,0.631578947,0.381578947,0.631578947,4,17.07894737,0.236842105,31,1,0.236842105,0.578947368,0.236842105,-39.47368421,-39.47368421,19.73684211,-39.47368421,4043,Kennebunk,Portland-South Portland,York County,ME
12197831,1,42.07894737,0.631578947,31,1,0.631578947,0.381578947,0.631578947,5,18.07894737,0.210526316,31,1,0.210526316,0.236842105,0.210526316,-42.10526316,-42.10526316,-14.47368421,-42.10526316,4043,Kennebunk,Portland-South Portland,York County,ME
