,Unnamed: 0,id,index_x,cleaning_fee_x,service_fee_x,total_price_x,index_y,cleaning_fee_y,service_fee_y,total_price_y,cleaning_fee_delta,service_fee_delta,total_price_delta,cleaning_fee_delta_pct,service_fee_delta_pct,total_price_delta_pct,display_price_delta_pct
35,35,11096159.0,0.0,170.0,73.0,350.0,0.0,170.0,73.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,11106764.0,0.0,19.0,15.693460490463217,91.8174386920981,0.0,19.0,12.5935960591133,69.87192118226601,0.0,-3.099864431349916,-21.945517509832086,0.0,-19.752586965976544,-23.90125211772079,-4.148665151744247
37,37,11164747.0,0.0,175.0,84.34801762114537,423.0176211453745,0.0,175.0,87.85714285714286,448.2142857142857,0.0,3.5091252359974874,25.196664568911217,0.0,4.16029366778832,5.956410161044358,1.7961164932560383
38,38,11189728.0,0.0,,8.0,60.0,0.0,,8.0,60.0,,0.0,0.0,,0.0,0.0,
39,39,11211918.0,0.0,80.0,34.497797356828194,162.48898678414096,0.0,80.0,35.0,165.0,0.0,0.5022026431718061,2.5110132158590375,0.0,1.4557527774230619,1.5453436356242416,0.08959085820117973
40,40,11240289.0,0.0,,9.050408719346049,64.42643051771117,0.0,,9.30295566502463,66.08004926108374,,0.2525469456785814,1.6536187433725758,,2.7904479621869447,2.5666775732949962,
41,41,11252865.0,0.0,27.0,23.240088105726876,136.49118942731278,0.0,27.0,23.637218045112785,139.51315789473685,0.0,0.3971299393859091,3.021968467424074,0.0,1.708814259133757,2.214039221215372,0.5052249620816149
42,42,11325747.0,0.0,,35.74669603524229,254.12995594713652,0.0,,39.32142857142857,278.57142857142856,,3.574732536186282,24.441472624292032,,10.000176051688781,9.617706237424558,
43,43,11357754.0,0.0,159.0,91.83920704845816,491.3348017621145,0.0,159.0,105.17857142857144,586.1428571428571,0.0,13.339364380113281,94.80805538074259,0.0,14.524694636218799,19.296018731163482,4.771324094944683
44,44,11384046.0,0.0,100.0,40.60706401766004,186.8896247240618,0.0,100.0,44.31015037593985,214.0056390977444,0.0,3.703086358279805,27.11601437368259,0.0,9.11931568524464,14.50910633146102,5.38979064621638
45,45,11414355.0,0.0,150.0,46.20044052863436,178.54405286343612,0.0,150.0,46.25,179.17857142857142,0.0,0.049559471365640206,0.6345185651352949,0.0,0.10727056019070634,0.3553848783866368,0.24811431819593044
46,46,11472494.0,0.0,200.0,52.283378746594,171.04359673024524,0.0,200.0,54.63300492610838,187.83004926108376,0.0,2.349626179514374,16.786452530838517,0.0,4.494021304366141,9.81413677666789,5.320115472301749
47,47,11496237.0,0.0,200.0,75.79295154185021,334.2863436123348,0.0,200.0,76.35714285714286,338.2857142857143,0.0,0.5641913152926463,3.999370673379474,0.0,0.7443849379333375,1.196390684154739,0.45200574622140144
48,48,11528925.0,0.0,25.0,15.05726872246696,81.6079295154185,0.0,25.0,15.142857142857142,82.14285714285714,0.0,0.08558842039018266,0.5349276274386341,0.0,0.568419292819528,0.6554848660111737,0.08706557319164576
49,49,11553485.0,0.0,125.0,66.51655629139073,345.42384105960264,0.0,125.0,68.48308270676692,359.4887218045113,0.0,1.9665264153761939,14.064880744908635,0.0,2.9564465225189696,4.071774751205361,1.115328228686391
50,50,11568310.0,0.0,150.0,180.7665198237885,1132.15859030837,0.0,150.0,182.28571428571428,1142.857142857143,0.0,1.519194461925764,10.698552548772795,0.0,0.8404180505365026,0.9449694274596983,0.1045513769231956
51,51,11580920.0,0.0,110.0,66.33106267029973,361.8119891008174,0.0,110.0,61.85714285714285,330.7142857142857,0.0,-4.473919813156883,-31.09770338653169,0.0,-6.744833616483151,-8.594989752500005,-1.8501561360168548
52,52,11581484.0,0.0,175.0,71.0,325.0,0.0,175.0,71.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,11592035.0,0.0,125.0,113.0,675.0,0.0,125.0,113.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,11754797.0,0.0,75.0,32.47908745247148,154.3700887198986,0.0,75.0,34.52886836027714,167.61431870669745,0.0,2.049780907805655,13.244229986798842,0.0,6.311079123775312,8.579531239908937,2.2684521161336244
55,55,11759647.0,0.0,,13.0,95.0,0.0,,15.678571428571429,111.07142857142856,,2.678571428571429,16.071428571428555,,20.604395604395606,16.917293233082688,
56,56,11790770.0,0.0,100.0,64.0,350.0,0.0,100.0,64.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57,11811014.0,0.0,20.0,24.0,149.0,0.0,20.0,24.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,11826408.0,0.0,95.0,36.3841059602649,162.39514348785872,0.0,95.0,37.535714285714285,171.85714285714286,0.0,1.1516083254493878,9.461999369284143,0.0,3.165141192989763,5.826528531619271,2.661387338629508
59,59,11838438.0,0.0,120.0,37.418502202643175,147.51101321585904,0.0,120.0,40.75,167.5,0.0,3.3314977973568247,19.988986784140963,0.0,8.90334353661407,13.550843661340895,4.647500124726825
60,60,1185819.0,0.0,100.0,30.272479564032697,112.72479564032696,0.0,100.0,30.285714285714285,112.85714285714286,0.0,0.013234721681588013,0.13234721681590145,0.0,0.043718657580043216,0.11740736903900371,0.0736887114589605
